Country_A,Country_B,Conflict_Type,Year,Duration_Days,Economic_Loss_USD_Billions,Temperature_Avg_C,Rainfall_mm,Terrain_Type,Population_A_Millions,Population_B_Millions,Alliance_A,Alliance_B,Weapons_Used,Air_Strikes,Naval_Battles,Sanctions,Refugees_Millions,Ceasefire,Outcome,Latitude,Longitude,Climate_Zone,Resource_Dispute,UN_Involvement,Total Deaths,Total GDP,Conflict_Intensity
France,France,Cold Conflict,2020,1829,176.45,8.2,2584.4,Desert,1113.4,724.2,NATO,Regional,Mixed,87,104,Yes,6.68,No,Victory_A,88.811,101.02,Temperate,Land,Yes,124866,20497.4,68.27009295
India,Japan,Cold Conflict,2013,1234,435.83,24.8,2379,Plains,571.6,507,NATO,NATO,Conventional,1529,87,Yes,14.51,Yes,Stalemate,55.878,78.502,Polar,Water,No,214145,23783.8,173.5372771
Israel,USA,Civil War,1970,1982,154.5,17.3,946.6,Mountain,677,1145,Regional,,Nuclear,3239,9,No,1.63,No,Stalemate,29.263,144.68,Tropical,Water,No,42140,34217.3,21.26135217
Turkey,Australia,Proxy War,2021,1754,273.2,12.3,1065.6,Plains,1303.8,98.1,,NATO,Cyber,3185,15,No,7.23,No,Victory_A,-22.281,-147.397,Polar,Water,No,127492,23123,72.68643101
Australia,France,War,2012,753,351.35,31.1,139.4,Plains,938.3,386.3,Regional,NATO,Mixed,12,22,Yes,19.65,No,Victory_A,17.638,169.36,Temperate,Land,No,142366,37970.9,189.065073
Brazil,Brazil,Civil War,2013,886,499.96,7,47.2,Mountain,1149.2,844.5,Regional,Regional,Mixed,2928,46,Yes,15.71,No,Victory_B,68.465,-169.618,Tropical,Oil,Yes,157472,23977.1,177.7336343
Israel,Ukraine,Civil War,1969,464,217.7,-0.1,1431,Forest,163.4,288.1,NATO,Regional,Mixed,319,11,Yes,11.44,Yes,Victory_A,-35.014,-58.427,Tropical,Oil,No,214205,19349.8,461.6487069
UK,Iran,Civil War,1957,712,214.1,17.4,286.6,Plains,272.3,942.1,NATO,Regional,Mixed,4387,155,No,1.24,Yes,Stalemate,-84.483,-149.462,Arid,Oil,Yes,158610,32180.6,222.7668539
France,Russia,Cold Conflict,2007,728,421.31,18.1,582,Mountain,482.4,192.3,NATO,,Conventional,4868,76,Yes,0.29,Yes,Victory_A,-31.107,-161.577,Tropical,,Yes,162199,30489.1,222.8008242
Canada,India,Skirmish,1995,717,402.77,9.8,2540.3,Plains,264.3,32.9,NATO,NATO,Mixed,1683,17,Yes,2.1,No,Stalemate,82.841,167.3,Arid,Oil,No,19608,30174.9,27.34728033
Russia,Canada,War,1980,1949,365.56,11.9,1713.1,Forest,1269.1,1209,,,Cyber,2449,57,Yes,6.54,Yes,Victory_B,52.932,79.081,Tropical,Water,No,158414,32149.9,81.27963058
France,Germany,Proxy War,1958,1440,231.67,33.2,1900.9,Mountain,304.4,467.5,,NATO,Conventional,4253,129,Yes,12.13,No,Stalemate,-56.315,2.048,Tropical,Land,No,133208,22865.5,92.50555556
Australia,Canada,Proxy War,1964,1240,162.04,23,562.4,Desert,780.5,220.4,Regional,NATO,Nuclear,383,173,Yes,3.95,Yes,Victory_B,-87.84,-141.052,Arid,,Yes,167316,17574.2,134.9322581
Australia,France,Skirmish,1975,80,304.4,-5,2486,Desert,120.5,242.6,,,Nuclear,4493,144,Yes,1.02,No,Stalemate,30.441,9.368,Temperate,Water,No,233412,14723.9,2917.65
Brazil,Israel,Civil War,1959,1803,438.12,-0.5,2603.9,Desert,217.8,1240.4,Regional,,Nuclear,1096,86,No,1.82,No,Stalemate,14.222,-64.781,Arid,Oil,No,151518,23250.9,84.03660566
UK,Iran,War,1978,480,441.9,33.9,1570,Urban,347.1,916.5,NATO,NATO,Mixed,969,63,No,8.54,Yes,Stalemate,-75.063,-82.229,Tropical,Land,No,197774,21097.5,412.0291667
